,Live Spectrum 8/25/2018 9:11:41 PM
Wavelength [nm],Intensity
723.106,3042.67
723.537,3023.27
723.967,3004.18
724.397,2984.39
724.828,2966.1
725.258,2949.98
725.687,2936.08
726.117,2922.86
726.547,2908.92
726.976,2893.47
727.406,2877.61
727.835,2863.31
728.265,2849.71
728.694,2835.24
729.123,2822.43
729.552,2809.37
729.981,2796.1
730.409,2784.63
730.838,2772.57
731.267,2760.22
731.695,2747.16
732.123,2732.67
732.552,2716.67
732.98,2700.33
733.408,2682.82
733.836,2665.69
734.264,2649.45
734.691,2633.04
735.119,2616.04
735.546,2598.33
735.974,2580.78
736.401,2561.75
736.828,2543.86
737.255,2526.53
737.682,2507.69
738.109,2490.33
738.536,2472.29
738.963,2455.35
739.389,2439.65
739.816,2423.69
740.242,2408.06
740.669,2393.9
741.095,2380.06
741.521,2365.84
741.947,2352.43
742.373,2340.37
742.798,2328.35
743.224,2316.8
743.65,2306.33
744.075,2295.2
744.5,2284.04
744.926,2273.8
745.351,2263.63
745.776,2254.33
746.201,2244.16
746.626,2234.33
747.05,2224.88
747.475,2215.65
747.899,2206.1
748.324,2196.67
748.748,2188.77
749.172,2180.88
749.596,2173.51
750.02,2165.41
750.444,2157.51
750.868,2151.29
751.292,2143.77
751.715,2136.98
752.139,2130.41
752.562,2123.2
752.986,2115.47
753.409,2109.06
753.832,2102.65
754.255,2096.12
754.678,2088.98
755.1,2083.84
755.523,2078.29
755.946,2073.14
756.368,2067.41
756.79,2060.2
757.213,2054.02
757.635,2046.47
758.057,2038.41
758.479,2031.71
758.901,2024.61
759.322,2017.14
759.744,2010.77
760.165,2005.16
760.587,1999.49
761.008,1992.59
761.429,1986.33
761.85,1979.37
762.271,1971.14
762.692,1964.65
763.113,1957.69
763.534,1951.94
763.954,1946.77
764.375,1942.18
764.795,1938.04
765.216,1933.47
765.636,1928.37
766.056,1923.86
766.476,1919.96
766.896,1915.02
767.315,1910.08
767.735,1906.16
768.155,1902.71
768.574,1898.35
768.993,1895.9
769.413,1894.59
769.832,1892.43
770.251,1890
770.67,1886.61
771.088,1882.75
771.507,1878.69
771.926,1875.94
772.344,1873
772.763,1870.63
773.181,1869.12
773.599,1867.04
774.017,1865.88
774.435,1864.12
774.853,1861.14
775.271,1859.26
775.689,1857.67
776.106,1856.02
776.524,1852.96
776.941,1851.28
777.359,1848.98
777.776,1847.2
778.193,1846.08
778.61,1844.61
779.027,1842.82
779.443,1841.84
779.86,1840.45
780.276,1837.71
780.693,1836.45
781.109,1834.53
781.526,1833.41
781.942,1831.77
782.358,1829.82
782.774,1827.41
783.189,1823.8
783.605,1821.37
784.021,1817.29
784.436,1814.63
784.852,1811.49
785.267,1807.14
785.682,1804.82
786.097,1802.41
786.512,1799.22
786.927,1797.53
787.342,1795.92
787.757,1792.98
788.171,1791.08
788.586,1788.04
789,1787.45
789.414,1785.96
789.829,1785.04
790.243,1784.57
790.657,1782.69
791.07,1781.92
791.484,1780.45
791.898,1780.78
792.311,1781.1
792.725,1779.37
793.138,1778.14
793.552,1777.53
793.965,1776.12
794.378,1773.92
794.791,1772.63
795.203,1771.08
795.616,1770.35
796.029,1767.43
796.441,1764.63
796.854,1761.61
797.266,1759.63
797.678,1758.47
798.09,1757.31
798.502,1756.82
798.914,1755.37
799.326,1755.69
799.738,1754.73
800.149,1753.59
800.561,1752.45
800.972,1751
801.383,1749.75
801.795,1747.53
802.206,1744.94
802.617,1741.51
803.027,1739.57
803.438,1738.08
803.849,1737.57
804.259,1736.92
804.67,1736.73
805.08,1736.06
805.49,1734.78
805.901,1733.55
806.311,1731.59
806.721,1731.33
807.13,1730.47
807.54,1729.84
807.95,1729.73
808.359,1729.16
808.769,1728.9
809.178,1728.71
809.587,1729.26
809.996,1729.59
810.405,1729.9
810.814,1729.82
811.223,1727.92
811.632,1726.28
812.04,1724.92
812.449,1723.26
812.857,1721.75
813.265,1720.86
813.674,1718.77
814.082,1717.47
814.49,1714.73
814.897,1712.53
815.305,1711.28
815.713,1709.33
816.12,1707.82
816.528,1707.31
816.935,1706.26
817.342,1704.55
817.75,1702.37
818.157,1701.12
818.564,1699.57
818.97,1697
819.377,1695.69
819.784,1693.22
820.19,1691.12
820.597,1691.1
821.003,1690.04
821.409,1689.71
821.815,1689.43
822.221,1688.31
822.627,1688.69
823.033,1689.73
823.439,1689.26
823.844,1690.02
824.25,1691.14
824.655,1692.24
825.06,1691.96
825.466,1691.94
825.871,1692.39
826.276,1692.12
826.68,1691.63
827.085,1690.28
827.49,1689.18
827.894,1688.67
828.299,1687.78
828.703,1687.08
829.107,1687.39
829.512,1686.33
829.916,1685.06
830.319,1683.94
830.723,1682.04
831.127,1680.51
831.531,1679.28
831.934,1679.53
832.338,1679.71
832.741,1680.53
833.144,1681.24
833.547,1682.94
833.95,1683.47
834.353,1683.02
834.756,1683.39
835.159,1684.45
835.561,1684.16
835.964,1682.69
836.366,1681.51
836.768,1679.67
837.17,1679
837.572,1677.9
837.974,1677.8
838.376,1677.37
838.778,1676.1
839.18,1674.45
839.581,1672.26
839.983,1669.75
840.384,1667.73
840.785,1666.57
841.186,1665.39
841.588,1663.8
841.988,1661.73
842.389,1660.94
842.79,1661.63
843.191,1662.96
843.591,1663
843.992,1662.39
844.392,1661.53
844.792,1659.43
845.192,1658.9
845.592,1659.61
845.992,1660.43
846.392,1661.1
846.791,1662.22
847.191,1662.26
847.591,1663.47
847.99,1665.43
848.389,1666.69
848.788,1668.49
849.187,1670.47
849.586,1671.12
849.985,1671.04
850.384,1672.22
850.783,1672.63
851.181,1672.82
851.58,1672.75
851.978,1671.75
852.376,1670
852.774,1668.24
853.172,1667.08
853.57,1665.96
853.968,1665.41
854.366,1663.37
854.764,1660.82
855.161,1657.8
855.558,1656.67
855.956,1654.69
856.353,1654.96
856.75,1655.59
857.147,1656.2
857.544,1657.12
857.941,1658.18
858.337,1660
858.734,1660.77
859.131,1662.53
859.527,1663.71
859.923,1665.28
860.319,1665.16
860.715,1665.22
861.111,1666.22
861.507,1666.69
861.903,1667.59
862.299,1666.47
862.694,1665.47
863.09,1663.71
863.485,1660.26
863.88,1656.98
864.275,1653.51
864.67,1650.22
865.065,1647.31
865.46,1645.71
865.855,1643.12
866.25,1641.55
866.644,1639.55
867.038,1639.67
867.433,1639.16
867.827,1638.26
868.221,1637.75
868.615,1637.53
869.009,1637.04
869.403,1636.75
869.796,1635.33
870.19,1635.37
870.583,1634.8
870.977,1635.16
871.37,1636.63
871.763,1637.31
872.156,1637.86
872.549,1639.1
872.942,1639.06
873.335,1639.37
873.728,1639.53
874.12,1638.77
874.513,1638.26
874.905,1637.31
875.297,1636.37
875.689,1635.78
876.081,1634.82
876.473,1635
876.865,1635.12
877.257,1635.82
877.648,1636.86
878.04,1637.1
878.431,1638.22
878.823,1638.78
879.214,1639.04
879.605,1638.9
879.996,1638.59
880.387,1637.55
880.778,1637.8
881.168,1638.63
881.559,1639.59
881.949,1640.73
882.34,1641.82
882.73,1642.94
883.12,1643.45
883.51,1643.98
883.9,1645.16
884.29,1645.16
884.68,1645.1
885.07,1644.96
885.459,1645.14
885.849,1643.84
886.238,1643.43
886.627,1642.94
887.016,1642.77
887.405,1642.98
887.794,1642.06
888.183,1640.78
888.572,1639.47
888.96,1639.18
889.349,1638.73
889.737,1638.35
890.126,1638.1
890.514,1637.8
890.902,1637.39
891.29,1637.08
891.678,1636.1
892.066,1635
892.453,1635.43
892.841,1635.96
893.228,1635.29
893.616,1635.1
894.003,1632.98
894.39,1631.77
894.777,1631.35
895.164,1631.51
895.551,1631.14
895.938,1631.02
896.325,1630.92
896.711,1631.06
897.097,1630.24
897.484,1630.22
897.87,1630.37
898.256,1631
898.642,1631.41
899.028,1631.61
899.414,1631.51
899.8,1631.57
900.185,1630.43
900.571,1631.31
900.956,1632.08
901.342,1632.43
901.727,1632.98
902.112,1633.18
902.497,1631.98
902.882,1631.08
903.267,1629.67
903.651,1628.43
904.036,1627.63
904.42,1627.2
904.805,1626.78
905.189,1626.18
905.573,1625.69
905.957,1625.77
906.341,1626.12
906.725,1628.51
907.109,1629.55
907.492,1630.12
907.876,1631.55
908.259,1632.1
908.643,1632.43
909.026,1634.12
909.409,1634.06
909.792,1635.69
910.175,1636.04
910.558,1636.18
910.941,1635.61
911.323,1635.12
911.706,1633.8
912.088,1634.02
912.471,1632.9
912.853,1632.2
913.235,1631.24
913.617,1629.57
913.999,1628.57
914.38,1627.02
914.762,1625.92
915.144,1624.84
915.525,1624.26
915.907,1624.59
916.288,1623.35
916.669,1623.18
917.05,1622.82
917.431,1622.22
917.812,1621.51
918.193,1622.04
918.573,1620.82
918.954,1621.67
919.334,1623.96
919.715,1624.86
920.095,1627.37
920.475,1629.26
920.855,1631.33
921.235,1632.82
921.615,1633.57
921.995,1633.77
922.374,1634.49
922.754,1636.28
923.133,1638.47
923.512,1639.75
923.892,1641.35
924.271,1643.04
924.65,1644.41
925.029,1645.82
925.407,1645.9
925.786,1644
