,Relative Quantum Efficiency
Wavelength [nm],RQE
631.332,0.99
631.784,0.99
632.236,0.98882
632.688,0.98656
633.139,0.984305
633.591,0.982045
634.042,0.97979
634.493,0.977535
634.945,0.975275
635.396,0.97302
635.847,0.970765
636.298,0.97
636.748,0.97
637.199,0.97
637.65,0.97
638.1,0.9695
638.551,0.967245
639.001,0.964995
639.451,0.962745
639.901,0.960495
640.351,0.958245
640.801,0.955995
641.251,0.953745
641.7,0.9515
642.15,0.95
642.599,0.95
643.049,0.95
643.498,0.95
643.947,0.95
644.396,0.95
644.845,0.95
645.294,0.95
645.743,0.95
646.191,0.949045
646.64,0.9468
647.088,0.94456
647.536,0.94232
647.985,0.940075
648.433,0.94
648.881,0.94
649.329,0.94
649.776,0.94
650.224,0.94
650.672,0.94
651.119,0.94
651.567,0.94
652.014,0.93993
652.461,0.937695
652.908,0.93546
653.355,0.933225
653.802,0.93099
654.249,0.93
654.695,0.93
655.142,0.93
655.588,0.93
656.035,0.93
656.481,0.93
656.927,0.93
657.373,0.93
657.819,0.93
658.265,0.93
658.71,0.93
659.156,0.93
659.602,0.93
660.047,0.93
660.492,0.93
660.938,0.93
661.383,0.93
661.828,0.93
662.273,0.93
662.717,0.93
663.162,0.93
663.607,0.93
664.051,0.93
664.495,0.93
664.94,0.93
665.384,0.93
665.828,0.93
666.272,0.93
666.716,0.93
667.16,0.93
667.603,0.93
668.047,0.93
668.49,0.93
668.934,0.93
669.377,0.93
669.82,0.93
670.263,0.928685
670.706,0.92647
671.149,0.924255
671.591,0.922045
672.034,0.92
672.477,0.92
672.919,0.92
673.361,0.92
673.804,0.92
674.246,0.91754
674.688,0.91312
675.13,0.9087
675.571,0.90429
676.013,0.89987
676.455,0.89545
676.896,0.89104
677.337,0.88663
677.779,0.88221
678.22,0.8756
678.661,0.86678
679.102,0.85796
679.543,0.84914
679.984,0.84032
680.424,0.83152
680.865,0.8227
681.305,0.8139
681.746,0.80508
682.186,0.79628
682.626,0.78748
683.066,0.77868
683.506,0.76988
683.946,0.76108
684.385,0.750375
684.825,0.739375
685.265,0.728375
685.704,0.7174
686.143,0.706425
686.583,0.695425
687.022,0.68445
687.461,0.673475
687.9,0.6625
688.338,0.65155
688.777,0.640575
689.216,0.6296
689.654,0.61865
690.092,0.60816
690.531,0.59938
690.969,0.59062
691.407,0.58186
691.845,0.5731
692.283,0.56434
692.721,0.55558
693.158,0.54684
693.596,0.53808
694.033,0.529505
694.471,0.522935
694.908,0.51638
695.345,0.509825
695.782,0.50327
696.219,0.496715
696.656,0.49016
697.092,0.48362
697.529,0.477065
697.966,0.47051
698.402,0.46397
698.838,0.45743
699.274,0.45089
699.711,0.444335
700.147,0.437795
700.583,0.431255
701.018,0.42473
701.454,0.41819
701.89,0.41165
702.325,0.40675
702.76,0.4024
703.196,0.39804
703.631,0.39369
704.066,0.38934
704.501,0.38499
704.936,0.38064
705.371,0.37629
705.805,0.37195
706.24,0.3664
706.674,0.35989
707.109,0.353365
707.543,0.346855
707.977,0.340345
708.411,0.33589
708.845,0.33155
709.279,0.32721
709.712,0.32288
710.146,0.31927
710.58,0.3171
711.013,0.314935
711.446,0.31277
711.879,0.310605
712.313,0.30687
712.746,0.30254
713.178,0.29822
713.611,0.29389
714.044,0.28956
714.477,0.28523
714.909,0.28091
715.341,0.27659
