,red absorbing state
Wavelength [nm],?r
600.358,1591.931
600.817,1612.3565
601.276,1632.782
601.735,1653.2075
602.193,1672.72
602.652,1691.08
603.11,1709.4
603.569,1727.76
604.027,1745.945
604.485,1761.975
604.943,1778.005
605.401,1794.035
605.859,1810.065
606.317,1827.5215
606.774,1845.573
607.232,1863.664
607.689,1881.7155
608.146,1898.088
608.604,1910.912
609.061,1923.708
609.518,1936.504
609.975,1949.3
610.431,1964.0075
610.888,1978.86
611.345,1993.7125
611.801,2008.5325
612.258,2021.192
612.714,2032.136
613.17,2043.08
613.626,2054.024
614.082,2064.681
614.538,2074.029
614.994,2083.377
615.449,2092.7045
615.905,2102.0525
616.36,2110.66
616.816,2119.096
617.271,2127.5135
617.726,2135.931
618.181,2144.8915
618.636,2154.674
619.091,2164.4565
619.546,2174.239
620,2184
620.455,2198.3325
620.909,2212.6335
621.363,2226.9345
621.818,2241.267
622.272,2254.616
622.726,2267.328
623.18,2280.04
623.633,2292.724
624.087,2305.523
624.541,2318.689
624.994,2331.826
625.448,2344.992
625.901,2358.129
626.354,2377.461
626.807,2398.5255
627.26,2419.59
627.713,2440.6545
628.166,2461.138
628.618,2480.574
629.071,2500.053
629.523,2519.489
629.976,2538.968
630.428,2565.038
630.88,2591.48
631.332,2617.922
631.784,2644.364
632.236,2674.228
632.688,2707.224
633.139,2740.147
633.591,2773.143
634.042,2805.394
634.493,2831.101
634.945,2856.865
635.396,2882.572
635.847,2908.279
636.298,2939.797
636.748,2974.222
637.199,3008.7235
637.65,3043.225
638.1,3077.5
638.551,3111.325
639.001,3145.075
639.451,3178.825
639.901,3212.575
640.351,3254.749
640.801,3299.299
641.251,3343.849
641.7,3388.3
642.15,3432.625
642.599,3476.4025
643.049,3520.2775
643.498,3564.055
643.947,3607.8325
644.396,3648.244
644.845,3688.205
645.294,3728.166
645.743,3768.127
646.191,3809.2405
646.64,3852.12
647.088,3894.904
647.536,3937.688
647.985,3980.5675
648.433,4038.29
648.881,4096.53
649.329,4154.77
649.776,4212.88
650.224,4264.624
650.672,4309.872
651.119,4355.019
651.567,4400.267
652.014,4445.26
652.461,4485.49
652.908,4525.72
653.355,4565.95
653.802,4606.18
654.249,4656.7435
654.695,4715.3925
655.142,4774.173
655.588,4832.822
656.035,4890.535
656.481,4935.581
656.927,4980.627
657.373,5025.673
657.819,5070.719
658.265,5110.3325
658.71,5146.155
659.156,5182.058
659.602,5217.961
660.047,5253.9245
660.492,5291.082
660.938,5328.323
661.383,5365.4805
661.828,5402.638
662.273,5433.107
662.717,5459.303
663.162,5485.558
663.607,5511.813
664.051,5536.683
664.495,5551.335
664.94,5566.02
665.384,5580.672
665.828,5595.324
666.272,5598.416
666.716,5594.198
667.16,5589.98
667.603,5585.7715
668.047,5580.5195
668.49,5566.565
668.934,5552.579
669.377,5538.6245
669.82,5524.67
670.263,5493.0945
670.706,5449.459
671.149,5405.8235
671.591,5362.2865
672.034,5318.481
672.477,5272.6305
672.919,5226.8835
673.361,5181.1365
673.804,5135.286
674.246,5071.827
674.688,4994.256
675.13,4916.685
675.571,4839.2895
676.013,4761.491
676.455,4676.185
676.896,4591.072
677.337,4505.959
677.779,4420.653
678.22,4342.14
678.661,4270.257
679.102,4198.374
679.543,4126.491
679.984,4054.608
680.424,3954.904
680.865,3853.915
681.305,3753.155
681.746,3652.166
682.186,3549.825
682.626,3445.325
683.066,3340.825
683.506,3236.325
683.946,3131.825
684.385,3036.225
684.825,2941.625
685.265,2847.025
685.704,2752.64
686.143,2661.687
686.583,2577.647
687.022,2493.798
687.461,2409.949
687.9,2326.1
688.338,2239.231
688.777,2151.2115
689.216,2063.192
689.654,1975.373
690.092,1890.222
690.531,1814.9335
690.969,1739.8165
691.407,1664.6995
691.845,1589.5825
692.283,1522.3895
692.721,1459.5365
693.158,1396.827
693.596,1333.974
694.033,1271.677
694.471,1214.299
694.908,1157.052
695.345,1099.805
695.782,1042.558
696.219,991.5525
696.656,946.76
697.092,902.07
697.529,857.2775
697.966,812.485
698.402,776.84
698.838,741.96
699.274,707.08
699.711,672.12
700.147,640.033
700.583,613.437
701.018,586.902
701.454,560.306
701.89,533.71
702.325,510.75
702.76,489
703.196,467.2
703.631,445.45
704.066,423.832
704.501,402.952
704.936,382.072
705.371,361.192
705.805,340.36
706.24,324.52
706.674,312.802
707.109,301.057
707.543,289.339
707.977,277.621
708.411,268.5745
708.845,259.6775
709.279,250.7805
709.712,241.904
710.146,232.423
710.58,221.79
711.013,211.1815
711.446,200.573
711.879,189.9645
712.313,184.183
712.746,180.286
713.178,176.398
713.611,172.501
714.044,168.516
714.477,163.753
714.909,159.001
715.341,154.249
715.774,149.486
716.206,145.764
716.638,143.172
717.07,140.58
717.502,137.988
717.933,135.402
718.365,131.715
718.797,127.827
719.228,123.948
719.659,120.069
720.091,116.363
720.522,113.346
720.953,110.329
721.384,107.312
721.815,104.295
722.245,103
722.676,103
723.106,103
723.537,103
723.967,103
724.397,100.83635
724.828,98.4874
725.258,96.1439
725.687,93.80585
726.117,92.1
726.547,92.1
726.976,92.1
727.406,92.1
727.835,92.1
728.265,90.60275
728.694,88.1789
729.123,85.75505
729.552,83.3312
729.981,80.90735
730.409,80.8
730.838,80.8
731.267,80.8
731.695,80.8
732.123,80.33875
732.552,78.73
732.98,77.125
733.408,75.52
733.836,73.915
734.264,73.3
734.691,73.3
735.119,73.3
735.546,73.3
735.974,73.3
736.401,73.3
736.828,73.3
737.255,73.3
737.682,73.3
738.109,73.3
738.536,73.3
738.963,73.3
739.389,73.3
739.816,73.3
740.242,73.3
740.669,73.3
741.095,73.3
741.521,73.3
741.947,73.3
742.373,73.3
742.798,73.3
743.224,73.3
743.65,73.3
744.075,73.3
744.5,73.3
744.926,73.3
745.351,73.3
745.776,73.3
746.201,72.1543
746.626,69.7318
747.05,67.315
747.475,64.8925
747.899,62.4757
748.324,61.9
748.748,61.9
749.172,61.9
749.596,61.9
750.02,61.9
750.444,61.9
750.868,61.9
751.292,61.9
751.715,61.9
752.139,61.9
752.562,61.9
752.986,61.9
753.409,61.9
753.832,61.9
754.255,61.9
754.678,61.9
755.1,61.9
755.523,61.9
755.946,61.9
756.368,61.9
756.79,61.9
757.213,61.9
757.635,61.9
758.057,61.9
758.479,61.9
758.901,61.9
759.322,61.9
759.744,61.9
760.165,61.9
760.587,61.9
761.008,61.9
761.429,61.9
761.85,61.9
762.271,61.9
762.692,61.9
763.113,61.9
763.534,61.9
763.954,61.9
764.375,61.9
764.795,61.9
765.216,61.9
765.636,61.9
766.056,61.9
766.476,61.9
766.896,61.9
767.315,61.9
767.735,61.9
768.155,60.96225
768.574,58.4273
768.993,55.89235
769.413,53.35135
769.832,50.8164
770.251,49.8
770.67,49.8
771.088,49.8
771.507,49.8
771.926,49.8
772.344,49.8
772.763,49.8
773.181,49.8
773.599,49.8
774.017,49.8
774.435,49.8
774.853,49.8
775.271,49.8
775.689,49.8
776.106,49.8
776.524,49.8
776.941,49.8
777.359,49.8
777.776,49.8
778.193,49.8
778.61,49.8
779.027,49.8
779.443,49.8
779.86,49.8
780.276,49.8
780.693,49.8
781.109,49.8
781.526,49.8
781.942,49.8
782.358,49.8
782.774,49.8
783.189,49.8
783.605,49.8
784.021,49.8
784.436,49.8
784.852,49.8
785.267,49.8
785.682,49.8
786.097,49.8
786.512,49.8
786.927,49.8
787.342,49.8
787.757,49.8
788.171,49.8
788.586,49.8
789,49.8
789.414,49.8
789.829,49.8
790.243,49.8
790.657,49.8
791.07,49.8
791.484,49.8
791.898,49.8
792.311,49.8
792.725,49.8
793.138,49.8
793.552,49.8
793.965,49.8
794.378,49.8
794.791,49.8
795.203,49.8
795.616,49.8
796.029,49.8
796.441,49.8
796.854,49.8
797.266,49.8
797.678,49.8
798.09,49.8
798.502,49.8
798.914,49.8
799.326,49.8
799.738,49.8
800.149,49.8
800.561,49.8
800.972,49.8
801.383,49.8
801.795,49.8
802.206,49.8
802.617,49.8
803.027,49.8
803.438,49.8
803.849,49.8
804.259,49.8
804.67,49.8
805.08,49.8
805.49,49.8
805.901,49.8
806.311,49.8
806.721,49.8
807.13,49.8
807.54,49.8
807.95,49.8
808.359,49.8
808.769,49.8
809.178,49.8
809.587,49.8
809.996,49.8
810.405,49.8
810.814,49.8
811.223,49.8
811.632,49.8
812.04,49.8
812.449,49.8
812.857,49.8
813.265,49.8
813.674,49.8
814.082,49.8
814.49,49.8
814.897,49.8
815.305,49.8
815.713,49.8
816.12,49.8
816.528,49.8
816.935,49.8
817.342,49.8
817.75,49.8
818.157,49.8
818.564,49.8
818.97,49.8
819.377,49.8
819.784,49.8
820.19,49.8
820.597,49.8
821.003,49.8
821.409,49.8
821.815,49.8
822.221,49.8
822.627,49.8
823.033,49.8
823.439,49.8
823.844,49.8
824.25,49.8
824.655,49.8
825.06,49.8
825.466,49.8
825.871,49.8
826.276,49.8
826.68,49.8
827.085,49.8
827.49,49.8
827.894,49.8
828.299,49.8
828.703,49.8
829.107,49.8
829.512,49.8
829.916,49.8
830.319,49.8
830.723,49.8
831.127,49.8
831.531,49.8
831.934,49.8
832.338,49.8
832.741,49.8
833.144,49.8
833.547,49.8
833.95,49.8
834.353,49.8
834.756,49.8
835.159,49.8
835.561,49.8
835.964,49.8
836.366,49.8
836.768,49.8
837.17,49.8
837.572,49.8
837.974,49.8
838.376,49.8
838.778,49.8
839.18,49.8
839.581,49.8
839.983,49.8
840.384,49.8
840.785,49.8
841.186,49.8
841.588,49.8
841.988,49.8
842.389,49.8
842.79,49.8
843.191,49.8
843.591,49.8
843.992,49.8
844.392,49.8
844.792,49.8
845.192,49.8
845.592,49.8
845.992,49.8
846.392,49.8
846.791,49.8
847.191,49.8
847.591,49.8
847.99,49.8
848.389,49.8
848.788,49.8
849.187,49.8
849.586,49.8
849.985,49.8
850.384,49.8
850.783,49.8
851.181,49.8
851.58,49.8
851.978,49.8
852.376,49.8
852.774,49.8
853.172,49.8
853.57,49.8
853.968,49.8
854.366,49.8
854.764,49.8
855.161,49.8
855.558,49.8
855.956,49.8
856.353,49.8
856.75,49.8
857.147,49.8
857.544,49.8
857.941,49.8
858.337,49.8
858.734,49.8
859.131,49.8
859.527,49.8
859.923,49.8
860.319,49.8
860.715,49.8
861.111,49.8
861.507,49.8
861.903,49.8
862.299,49.8
862.694,49.8
863.09,49.8
863.485,49.8
863.88,49.8
864.275,49.8
864.67,49.8
865.065,49.8
865.46,49.8
865.855,49.8
866.25,49.8
866.644,49.8
867.038,49.8
867.433,49.8
867.827,49.8
868.221,49.8
868.615,49.8
869.009,49.8
869.403,49.8
869.796,49.8
870.19,49.8
870.583,49.8
870.977,49.8
871.37,49.8
871.763,49.8
872.156,49.8
872.549,49.8
872.942,49.8
873.335,49.8
873.728,49.8
874.12,49.8
874.513,49.8
874.905,49.8
875.297,49.8
875.689,49.8
876.081,49.8
876.473,49.8
876.865,49.8
877.257,49.8
877.648,49.8
878.04,49.8
878.431,49.8
878.823,49.8
879.214,49.8
879.605,49.8
879.996,49.8
880.387,49.8
880.778,49.8
881.168,49.8
881.559,49.8
881.949,49.8
882.34,49.8
882.73,49.8
883.12,49.8
883.51,49.8
883.9,49.8
884.29,49.8
884.68,49.8
885.07,49.8
885.459,49.8
885.849,49.8
886.238,49.8
886.627,49.8
887.016,49.8
887.405,49.8
887.794,49.8
888.183,49.8
888.572,49.8
888.96,49.8
889.349,49.8
889.737,49.8
890.126,49.8
890.514,49.8
890.902,49.8
891.29,49.8
891.678,49.8
892.066,49.8
892.453,49.8
892.841,49.8
893.228,49.8
893.616,49.8
894.003,49.8
894.39,49.8
894.777,49.8
895.164,49.8
895.551,49.8
895.938,49.8
896.325,49.8
896.711,49.8
897.097,49.8
897.484,49.8
897.87,49.8
898.256,49.8
898.642,49.8
899.028,49.8
899.414,49.8
899.8,49.8
900.185,49.8
900.571,49.8
900.956,49.8
901.342,49.8
901.727,49.8
902.112,49.8
902.497,49.8
902.882,49.8
903.267,49.8
903.651,49.8
904.036,49.8
904.42,49.8
904.805,49.8
905.189,49.8
905.573,49.8
905.957,49.8
906.341,49.8
906.725,49.8
907.109,49.8
907.492,49.8
907.876,49.8
908.259,49.8
908.643,49.8
909.026,49.8
909.409,49.8
909.792,49.8
910.175,49.8
910.558,49.8
910.941,49.8
911.323,49.8
911.706,49.8
912.088,49.8
912.471,49.8
912.853,49.8
913.235,49.8
913.617,49.8
913.999,49.8
914.38,49.8
914.762,49.8
915.144,49.8
915.525,49.8
915.907,49.8
916.288,49.8
916.669,49.8
917.05,49.8
917.431,49.8
917.812,49.8
918.193,49.8
918.573,49.8
918.954,49.8
919.334,49.8
919.715,49.8
920.095,49.8
920.475,49.8
920.855,49.8
921.235,49.8
921.615,49.8
921.995,49.8
922.374,49.8
922.754,49.8
923.133,49.8
923.512,49.8
923.892,49.8
924.271,49.8
924.65,49.8
925.029,49.8
925.407,49.8
925.786,49.8
926.165,49.8
926.543,49.8
926.922,49.8
927.3,49.8
927.678,49.8
928.056,49.8
928.434,49.8
928.812,49.8
929.19,49.8
929.567,49.8
929.945,49.8
930.322,49.8
930.7,49.8
931.077,49.8
931.454,49.8
931.831,49.8
932.208,49.8
932.585,49.8
932.962,49.8
933.338,49.8
933.715,49.8
934.091,49.8
934.467,49.8
934.844,49.8
935.22,49.8
935.596,49.8
935.972,49.8
936.347,49.8
936.723,49.8
937.099,49.8
937.474,49.8
937.85,49.8
938.225,49.8
938.6,49.8
938.975,49.8
939.35,49.8
939.725,49.8
940.1,49.8
940.474,49.8
940.849,49.8
941.223,49.8
941.598,49.8
941.972,49.8
942.346,49.8
942.72,49.8
943.094,49.8
943.468,49.8
943.841,49.8
944.215,49.8
944.589,49.8
944.962,49.8
945.335,49.8
945.709,49.8
946.082,49.8
946.455,49.8
946.828,49.8
947.2,49.8
947.573,49.8
947.946,49.8
948.318,49.8
948.69,49.8
949.063,49.8
949.435,49.8
949.807,49.8
950.179,49.8
950.551,49.8
950.923,49.8
951.294,49.8
951.666,49.8
952.037,49.8
952.409,49.8
952.78,49.8
953.151,49.8
953.522,49.8
953.893,49.8
954.264,49.8
954.634,49.8
955.005,49.8
955.376,49.8
955.746,49.8
956.116,49.8
956.487,49.8
956.857,49.8
957.227,49.8
957.596,49.8
957.966,49.8
958.336,49.8
958.706,49.8
959.075,49.8
959.444,49.8
959.814,49.8
960.183,49.8
960.552,49.8
960.921,49.8
961.29,49.8
961.658,49.8
962.027,49.8
962.396,49.8
962.764,49.8
963.132,49.8
963.501,49.8
963.869,49.8
964.237,49.8
964.605,49.8
964.973,49.8
965.34,49.8
